iter	Passed	Remaining
0	0	933
1	1	809
2	2	736
3	2	685
4	3	660
5	3	609
6	4	603
7	4	613
8	5	623
9	6	600
10	6	607
11	7	607
12	8	618
13	8	628
14	9	642
15	10	638
16	10	634
17	11	628
18	12	625
19	12	622
20	13	624
21	13	611
22	14	608
23	14	606
24	15	602
25	15	598
26	16	593
27	17	590
28	17	586
29	18	584
30	18	579
31	19	577
32	19	575
33	20	574
34	20	572
35	21	571
36	21	570
37	22	571
38	23	573
39	23	574
40	24	576
41	25	574
42	25	573
43	26	571
44	26	568
45	27	565
46	27	563
47	28	560
48	28	559
49	29	558
50	29	556
51	30	554
52	30	552
53	31	551
54	32	550
55	32	550
56	33	550
57	33	549
58	34	548
59	35	548
60	35	548
61	36	547
62	36	547
63	37	547
64	37	545
65	38	543
66	39	545
67	39	545
68	40	545
69	40	544
70	41	543
71	42	541
72	42	540
73	43	539
74	43	538
75	44	538
76	44	535
77	45	534
78	45	534
79	46	533
80	46	532
81	47	530
82	48	530
83	48	529
84	49	528
85	49	527
86	50	526
87	50	525
88	51	524
89	51	525
90	52	524
91	53	525
92	53	524
93	54	524
94	55	525
95	55	525
96	56	524
97	56	524
98	57	523
99	58	522
100	58	522
101	59	521
102	59	521
103	60	520
104	61	520
105	61	519
106	62	518
107	62	516
108	63	516
109	63	516
110	64	515
111	64	515
112	65	511
113	65	511
114	66	510
115	66	508
116	67	508
117	67	505
118	68	505
119	68	504
120	69	504
121	69	502
122	70	502
123	71	502
124	71	501
125	72	501
126	73	502
127	73	502
128	74	501
129	74	501
130	75	500
131	75	497
132	76	497
133	76	496
134	77	495
135	77	495
136	78	494
137	78	493
138	79	492
139	80	491
140	80	491
141	81	490
142	81	489
143	82	489
144	83	489
145	83	489
146	84	488
147	84	488
148	85	488
149	86	488
150	86	487
151	87	486
152	87	486
153	88	485
154	88	483
155	89	482
156	89	482
157	90	481
158	90	479
159	91	478
160	91	478
161	92	477
162	92	476
163	93	476
164	93	475
165	94	475
166	95	474
167	95	474
168	96	474
169	96	473
170	97	473
171	98	472
172	99	473
173	99	473
174	100	472
175	101	472
176	101	472
177	102	471
178	102	471
179	103	470
180	103	470
181	104	469
182	105	469
183	105	468
184	106	467
185	106	467
186	107	466
187	107	465
188	108	464
189	108	463
190	109	462
191	109	461
192	110	461
193	110	460
194	111	459
195	111	457
196	112	456
197	112	456
198	113	455
199	113	455
200	114	454
201	115	454
202	115	454
203	116	453
204	116	452
205	117	452
206	117	451
207	118	450
208	118	449
209	119	448
210	119	447
211	120	447
212	120	446
213	121	445
214	121	444
215	122	444
216	122	443
217	123	442
218	124	442
219	124	441
220	125	441
221	125	440
222	126	440
223	126	439
224	127	438
225	128	438
226	128	437
227	129	438
228	130	437
229	130	437
230	131	437
231	131	436
232	132	436
233	133	435
234	133	435
235	134	434
236	134	434
237	135	433
238	136	433
239	136	432
240	137	431
241	137	431
242	138	430
243	138	430
244	139	429
245	139	428
246	140	428
247	141	427
248	141	427
249	142	426
250	142	426
251	143	425
252	143	424
253	144	424
254	145	424
255	146	424
256	146	424
257	147	423
258	147	423
259	148	422
260	148	421
261	149	421
262	150	420
263	150	420
264	151	419
265	151	419
266	152	418
267	152	417
268	153	417
269	154	416
270	154	415
271	155	414
272	155	414
273	156	413
274	156	412
275	157	412
276	157	411
277	158	410
278	158	409
279	159	409
280	159	408
281	160	407
282	160	407
283	161	407
284	162	406
285	162	406
286	163	405
287	164	405
288	164	405
289	165	404
290	165	403
291	166	403
292	166	402
293	167	401
294	168	401
295	168	401
296	169	400
297	169	399
298	170	399
299	170	398
300	171	398
301	172	397
302	172	396
303	173	396
304	173	395
305	174	395
306	175	395
307	175	394
308	176	393
309	176	393
310	177	392
311	177	392
312	178	391
313	178	391
314	179	390
315	180	390
316	180	389
317	181	388
318	181	388
319	182	387
320	183	387
321	183	386
322	184	386
323	184	385
324	185	384
325	185	384
326	186	383
327	186	383
328	187	382
329	188	381
330	188	381
331	189	381
332	190	380
333	190	380
334	191	379
335	192	379
336	192	379
337	193	378
338	193	377
339	194	377
340	194	376
341	195	375
342	195	375
343	196	374
344	197	374
345	197	373
346	198	372
347	198	372
348	199	371
349	199	370
350	200	370
351	200	369
352	201	368
353	201	368
354	202	367
355	202	366
356	203	365
357	203	364
358	204	364
359	204	363
360	205	363
361	205	362
362	206	362
363	207	361
364	207	361
365	208	361
366	209	361
367	210	361
368	211	361
369	211	360
370	212	360
371	212	359
372	213	359
373	214	358
374	214	358
375	215	357
376	216	357
377	216	357
378	217	356
379	218	356
380	219	355
381	219	355
382	220	355
383	221	355
384	222	355
385	223	355
386	224	354
387	224	354
388	225	353
389	226	353
390	226	353
391	227	352
392	228	352
393	228	351
394	229	351
395	230	350
396	230	350
397	231	350
398	232	349
399	232	349
400	233	349
401	234	348
402	235	348
403	236	349
404	237	349
405	238	349
406	239	349
407	240	348
408	241	348
409	241	348
410	242	347
411	243	347
412	244	347
413	245	346
414	245	346
415	246	345
416	247	345
417	248	345
418	248	344
419	249	344
420	250	344
421	251	343
422	251	343
423	252	343
424	253	343
425	254	343
426	255	342
427	256	342
428	256	341
429	257	341
430	257	340
431	258	340
432	259	339
433	259	338
434	260	338
435	261	337
436	261	337
437	262	336
438	263	336
439	263	335
440	264	335
441	265	335
442	266	334
443	267	334
444	267	334
445	268	333
446	269	333
447	270	332
448	270	332
449	271	331
450	272	331
451	272	330
452	273	329
453	273	329
454	274	329
455	275	328
456	276	328
457	276	327
458	277	327
459	278	326
460	279	326
461	280	326
462	280	325
463	281	325
464	282	325
465	283	324
466	284	324
467	285	324
468	285	323
469	286	323
470	287	322
471	287	322
472	288	321
473	289	321
474	290	320
475	290	320
476	291	319
477	291	318
478	292	318
479	293	317
480	294	317
481	295	317
482	295	316
483	296	316
484	297	315
485	298	315
486	299	315
487	300	314
488	300	314
489	301	313
490	301	312
491	302	312
492	303	311
493	303	311
494	304	310
495	304	309
496	305	309
497	306	308
498	306	308
499	307	307
500	308	306
501	308	306
502	309	305
503	309	304
504	310	304
505	310	303
506	311	302
507	311	302
508	312	301
509	313	301
510	313	300
511	314	299
512	315	299
513	315	298
514	316	298
515	316	297
516	317	296
517	317	295
518	318	295
519	318	294
520	319	293
521	320	293
522	320	292
523	321	291
524	321	291
525	322	290
526	323	289
527	323	289
528	324	288
529	324	287
530	325	287
531	325	286
532	326	286
533	327	285
534	327	285
535	328	284
536	329	284
537	330	283
538	330	282
539	331	282
540	331	281
541	332	281
542	333	280
543	333	279
544	334	279
545	335	278
546	335	278
547	336	277
548	336	276
549	337	276
550	338	275
551	338	274
552	339	274
553	339	273
554	340	273
555	341	272
556	341	271
557	342	271
558	343	270
559	343	270
560	344	269
561	345	268
562	345	268
563	346	267
564	346	267
565	347	266
566	348	265
567	348	265
568	349	264
569	349	263
570	350	263
571	350	262
572	351	261
573	351	261
574	352	260
575	353	259
576	353	259
577	354	258
578	354	258
579	355	257
580	356	256
581	356	256
582	357	255
583	357	254
584	358	254
585	359	253
586	359	253
587	360	252
588	360	251
589	361	251
590	362	250
591	362	249
592	363	249
593	363	248
594	364	248
595	364	247
596	365	246
597	365	246
598	366	245
599	367	244
600	367	244
601	368	243
602	368	242
603	369	242
604	369	241
605	370	240
606	371	240
607	371	239
608	372	239
609	372	238
610	373	237
611	374	237
612	375	236
613	375	236
614	376	235
615	377	235
616	377	234
